Participant,Study,Image_CZ,Image_SD,Image_StH,Image_TH,Image_SaH,Image_GR,Voice_CZ,Voice_SD,Voice_StH,Voice_TH,Voice_SaH,Voice_GR,Origin_CZ,Origin_SD,Origin_StH,Origin_TH,Origin_SaH,Origin_GR,Subjective_CZ,Subjective_SD,Subjective_StH,Subjective_TH,Subjective_SaH,Subjective_GR,Story_image,Story_voice,Story_origin,Story_subjective,Story_totalobjective
28,2,2,2,2,2,3,1,1,2,2,2,2,2,1,2,2,2,2,2,1,3,3,3,4,2,2.00,1.83,1.83,2.67,1.89
29,2,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,3,2,2,1,1.17,1.67,1.17,1.83,1.33
30,2,1,2,2,1,#NULL!,1,1,2,1,1,#NULL!,1,2,3,2,2,#NULL!,3,1,3,3,1,#NULL!,3,1.40,1.20,2.40,2.20,1.67
31,2,2,3,2,1,#NULL!,2,3,3,3,3,#NULL!,3,3,3,3,3,#NULL!,3,5,4,5,5,#NULL!,5,2.00,3.00,3.00,4.80,2.67
32,2,1,1,1,1,1,1,3,2,3,3,3,3,3,3,3,3,2,3,4,2,3,1,1,3,1.00,2.83,2.83,2.33,2.22
33,2,2,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,#NULL!,2,3,2,4,1,2,3,1.83,1.17,2.00,2.50,1.67
34,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,1.00,1.00,1.00,1.00
35,2,1,1,1,1,1,1,1,1,2,1,2,3,2,2,2,2,2,2,2,2,2,3,3,2,1.00,1.67,2.00,2.33,1.56
36,2,1,1,1,2,2,1,3,3,3,3,3,3,3,3,2,3,3,3,3,4,5,3,3,5,1.33,3.00,2.83,3.83,2.39
37,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,3.00,3.00,3.00,5.00,3.00
38,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,3,2,2,2,1,2,3,2,2,3,1.00,1.33,2.17,2.17,1.50
39,2,1,2,2,2,2,1,2,2,3,2,3,2,1,1,1,2,2,1,2,2,2,3,3,1,1.67,2.33,1.33,2.17,1.78
40,2,3,2,2,1,#NULL!,1,2,1,2,1,#NULL!,2,1,1,2,1,#NULL!,2,3,1,3,1,#NULL!,4,1.80,1.60,1.40,2.40,1.60
41,2,1,#NULL!,1,2,#NULL!,1,2,#NULL!,2,1,#NULL!,1,1,#NULL!,2,1,#NULL!,1,2,#NULL!,3,2,#NULL!,2,1.25,1.50,1.25,2.25,1.33
42,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,1,3,5,3,4,5,2.00,2.50,3.00,3.50,2.50
43,2,1,1,1,1,1,1,2,2,3,2,2,2,1,1,1,2,1,1,1,2,1,2,2,1,1.00,2.17,1.17,1.50,1.44
44,2,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,2,2,1,1,3,2,2,2,1.00,1.50,1.67,1.83,1.39
45,2,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,3,2,3,2,2,2,3,1,1.00,2.00,2.17,2.17,1.72
46,2,1,2,2,1,2,1,1,1,2,2,1,1,3,3,3,3,3,4,3,3,4,3,4,2,1.50,1.33,3.17,3.17,2.00
